Gene	log2FC	pvalue	FDR	direction	Symbol
A_19_P00801576	-0.1117142857142852	0.5033745561386745	0.79399994898411	Not Sig	CELF1
A_19_P00801585	-0.1272857142857155	0.0745103922596484	0.3925306425478888	Not Sig	Q982T4
A_19_P00801597	-0.3341428571428571	0.091693671529409	0.4292407629492526	Not Sig	LOC441204
A_19_P00801634	-0.4568571428571442	0.094943535159334	0.4361482092341636	Not Sig	NOP56
A_19_P00801649	-0.1049285714285712	0.6379722117800406	0.8655331747681058	Not Sig	LOC100652730
A_19_P00801735	-0.1290000000000013	0.0144642884873752	0.1730469603187621	Not Sig	XLOC_l2_013783
A_19_P00801752	0.1752142857142882	0.1742304009097289	0.5542978726575728	Not Sig	XLOC_014103
A_19_P00801867	-0.1849285714285695	0.0948867256600996	0.4360848673042103	Not Sig	LOC100129434
A_19_P00801885	-0.1806428571428568	0.3896024617955885	0.7290807947525584	Not Sig	LOC440132
A_19_P00801897	0.0955714285714288	0.2933093860979714	0.6683182678055676	Not Sig	LOC729296
A_19_P00801917	-0.0534285714285713	0.4656896901874138	0.7732456613736304	Not Sig	XLOC_l2_012374
A_19_P00801945	0.1897857142857155	0.2365880178862115	0.6204503282343204	Not Sig	LOC441204
A_19_P00801960	-0.1809285714285708	0.0125510165927438	0.1621935680698712	Not Sig	Q8VGA8
A_19_P00802098	0.1197857142857126	0.0254347868998107	0.2309407567974042	Not Sig	XLOC_001952
A_19_P00802137	0.1458571428571431	0.5526945496127103	0.8219108925939126	Not Sig	XLOC_l2_000864
A_19_P00802141	-0.140357142857141	0.0137281586018914	0.168838695078783	Not Sig	IPO7
A_19_P00802238	0.4135714285714289	0.1236992234786826	0.4872657688605774	Not Sig	XLOC_008925
A_19_P00802257	0.1065714285714278	0.2917795061582717	0.6674708694475776	Not Sig	LOC728431
A_19_P00802297	0.0626428571428572	0.7765468728962462	0.9263321348143132	Not Sig	Q7TPA6
A_19_P00802390	-0.1139285714285707	0.1257044497199653	0.4906113218201911	Not Sig	XLOC_007231
A_19_P00802413	-0.2307142857142832	0.0637672821217052	0.3655492092895268	Not Sig	PIEZO1
A_19_P00802417	-0.1035000000000003	0.3283956122024409	0.6932714355032992	Not Sig	P39195
A_19_P00802420	0.0310714285714288	0.9186770818977752	0.9773239934410454	Not Sig	XLOC_002275
A_19_P00802433	0.0922142857142853	0.632481920279868	0.8629528203998615	Not Sig	XLOC_005327
A_19_P00802448	-0.1032857142857146	0.4114578607803874	0.7414027462751654	Not Sig	XLOC_004881
A_19_P00802450	0.2275	0.0426742754561432	0.2989027505450124	Not Sig	XLOC_l2_015037
A_19_P00802464	-0.074428571428573	0.3609978528971714	0.7142969168117945	Not Sig	XLOC_005939
A_19_P00802546	-0.0325714285714289	0.857380693743453	0.9564954893009092	Not Sig	FAM199X
A_19_P00802550	0.0191428571428584	0.8127608164736182	0.9392102084285332	Not Sig	XLOC_009868
A_19_P00802587	0.200357142857142	0.4723568851216427	0.7772787404810412	Not Sig	XLOC_l2_003666
A_19_P00802607	0.0009999999999998	0.7899587596383436	0.9319910441869732	Not Sig	XLOC_001537
A_19_P00802614	-0.0549285714285714	0.3262180275183884	0.6912374383843171	Not Sig	XLOC_004609
A_19_P00802615	0.0923571428571436	0.6893669599039915	0.8896716650237829	Not Sig	LOC100131564
A_19_P00802654	-0.028142857142857	0.5147221148637087	0.8000543732830161	Not Sig	KPNA4
A_19_P00802679	-0.0866428571428574	0.4472791528410137	0.7624339724696834	Not Sig	CCDC7
A_19_P00802759	0.1847142857142856	0.0014764027935424	0.0578908835726282	Not Sig	XLOC_005690
A_19_P00802794	0.1107142857142871	0.5302767642771636	0.8081868381695148	Not Sig	LOC144481
A_19_P00802814	-0.0822857142857143	0.8614749120840464	0.9578179876967362	Not Sig	LOC729296
A_19_P00802872	0.2107857142857145	0.2340704791966738	0.61789652688114	Not Sig	XIST
A_19_P00802936	-0.0251428571428533	0.2708833854905487	0.6500867762118225	Not Sig	BRK1
A_19_P00802954	-0.0850714285714282	0.5559505696966939	0.8231426686795852	Not Sig	LOC441239
A_19_P00803019	-0.0492857142857143	0.5100154626826425	0.7974925506632885	Not Sig	LOC100506965
A_19_P00803039	-0.2107142857142836	0.0663124055978571	0.3730201612559594	Not Sig	LOC100507429
A_19_P00803086	0.118214285714286	0.0451325771766003	0.3084901428242262	Not Sig	LOC100506214
A_19_P00803093	0.2239285714285712	0.3250765737561215	0.6904454182570562	Not Sig	Q3AHP4
A_19_P00803124	0.1983571428571433	0.2042725536991435	0.5884140857705993	Not Sig	XLOC_l2_010494
A_19_P00803151	-0.1987857142857123	0.0558159160243586	0.3436019498567597	Not Sig	LOC100506119
A_19_P00803201	0.2030000000000003	0.2371899966668025	0.6207849522883322	Not Sig	Q958C4
A_19_P00803209	-0.0089999999999994	0.950575897250738	0.9870509787183872	Not Sig	LOC441204
A_19_P00803226	-0.041999999999998	0.4056417349946075	0.7380506912238545	Not Sig	LOC100507316
A_19_P00803333	-0.0469285714285696	0.4637601433597204	0.7715837358730496	Not Sig	ZSWIM6
A_19_P00803334	-0.0005000000000001	0.9977668325881344	0.999803486745583	Not Sig	XLOC_009375
A_19_P00803342	0.0542142857142868	0.393844456198206	0.7316740143963207	Not Sig	ZNF678
A_19_P00803351	0.0727857142857111	0.2765977507359584	0.6549312684209568	Not Sig	LOC100130238
A_19_P00803360	-0.0388571428571431	0.5186514597329974	0.8023208434185896	Not Sig	LOC730101
A_19_P00803441	-0.4061428571428571	0.0061311315310203	0.113617601238283	Down	LOC100499194
A_19_P00803472	-0.0082142857142848	0.8927686140329851	0.9676066904397448	Not Sig	XLOC_008811
A_19_P00803494	-0.283857142857143	0.1181479313521178	0.4771387732844133	Not Sig	XLOC_013825
A_19_P00803507	-0.2466428571428576	0.0303493482879603	0.2522873575986047	Not Sig	XLOC_000566
A_19_P00803558	0.2585714285714262	0.0700817736535781	0.3820127483420412	Not Sig	KCNA6
A_19_P00803575	0.1228571428571418	0.2154799730589632	0.5993891711150626	Not Sig	MPRIP
A_19_P00803606	0.1964285714285703	0.0901800910666736	0.4260040596078127	Not Sig	Q21C94
A_19_P00803675	0.0920714285714288	0.5571736794246118	0.8236167282494725	Not Sig	ZDHHC11B
A_19_P00803685	0.1500714285714295	0.2265901986367748	0.6114152883982134	Not Sig	ANKRD33B
A_19_P00803697	0.0455000000000014	0.7856577178177337	0.930005031648851	Not Sig	XLOC_008632
A_19_P00803771	-0.1291428571428543	0.0652112323830758	0.3699877858358261	Not Sig	IPW
A_19_P00803775	0.3694999999999986	0.0154889452214537	0.1795979389158629	Up	XLOC_004677
A_19_P00803850	-0.0292857142857148	0.782687993769313	0.9288200517036242	Not Sig	LOC100505474
A_19_P00803864	0.3780000000000001	0.0900168570294502	0.425669375333423	Not Sig	FAM105A
A_19_P00803960	-0.0490000000000012	0.5734215511435291	0.832703218852849	Not Sig	LOC100499177
A_19_P00803997	0.1148571428571427	0.2268783201032664	0.6116096961754084	Not Sig	XLOC_014394
A_19_P00804020	-0.1435714285714286	0.1537857289152428	0.5294696079485941	Not Sig	TLE1
A_19_P00804024	-0.0250714285714286	0.927658608827212	0.9794900920516852	Not Sig	OOSP1
A_19_P00804049	0.0780000000000011	0.414117630288389	0.7428543091720032	Not Sig	LOC401320
A_19_P00804072	0.174714285714284	0.0033247226897404	0.0848901360625267	Not Sig	RNF213
A_19_P00804093	0.3324999999999996	0.0054214919495442	0.1066682750305706	Up	CCDC149
A_19_P00804212	-0.1102857142857143	0.0720841934291382	0.3871813454397006	Not Sig	NFU1
A_19_P00804215	0.1003571428571419	0.4008612169595301	0.7354186365041234	Not Sig	LOC375190
A_19_P00804289	0.1302857142857147	0.0957190467721363	0.4377007952687847	Not Sig	LOC100506189
A_19_P00804359	0.3016428571428573	0.4348031251270862	0.7552090792904821	Not Sig	XLOC_009194
A_19_P00804396	-0.023714285714286	0.7007571802747858	0.89523041282149	Not Sig	MAP3K2
A_19_P00804417	-0.2727857142857157	0.0510367238709602	0.3290540994723165	Not Sig	LOC100507376
A_19_P00804489	-0.0439999999999995	0.5952804946239535	0.8444296210915039	Not Sig	Q25LE9
A_19_P00804596	0.3102857142857154	0.0031191490255945	0.0825436643990103	Up	C17orf51
A_19_P00804711	-0.2152142857142847	0.0583899387521223	0.3501807201246973	Not Sig	MAP3K13
A_19_P00804723	-0.0680714285714279	0.5571261165921152	0.8236114660465812	Not Sig	RPS24
A_19_P00804740	0.0620000000000002	0.6339329488737581	0.8634296005969294	Not Sig	FLJ39653
A_19_P00804755	-0.1268571428571405	0.0248642858645189	0.2280898824382652	Not Sig	METTL15
A_19_P00804767	0.0360000000000013	0.4766868645172729	0.7792265877867746	Not Sig	BMPR1A
A_19_P00804777	-0.1173571428571449	0.099848850219832	0.4457265235548441	Not Sig	XLOC_013282
A_19_P00804817	0.1357857142857135	0.0217572086976344	0.2123302760943979	Not Sig	SMAD4
A_19_P00804859	0.2937857142857143	0.1839132818410777	0.5642846521114714	Not Sig	MIR221
A_19_P00804922	0.2358571428571423	0.3480862464599484	0.7057383164652391	Not Sig	XLOC_003641
A_19_P00804950	0.0519285714285695	0.5037790843953804	0.79418727812126	Not Sig	P39188
A_19_P00804979	-0.2906428571428567	0.2626903430548971	0.642781569886127	Not Sig	LOC100652906
A_19_P00805006	-0.060785714285716	0.5697291141026262	0.8305695417955302	Not Sig	MALAT1
A_19_P00805047	-0.1012142857142883	0.0179653341836493	0.1924393944568638	Not Sig	NASP
A_19_P00805076	0.1062142857142847	0.1665422538790832	0.5451696088195812	Not Sig	XLOC_009765
A_19_P00805108	0.2772142857142867	0.3214637216217782	0.6886741441907193	Not Sig	XLOC_004905
A_19_P00805212	-0.3730000000000002	0.0003621590136366	0.0295576574688326	Down	C6orf147
