Gene	log2FC	pvalue	FDR	direction
A_24_P87931	0.19328571428571095	0.0831061270407134	0.41182409913394846	Not Sig
A_24_P879740	0.1423571428571453	0.06996794110048743	0.381761778318011	Not Sig
A_24_P880043	0.10278571428571226	0.144341772296989	0.5176825613635515	Not Sig
A_24_P88031	0.023499999999998522	0.5979973890938461	0.8456621822689803	Not Sig
A_24_P88079	-0.12164285714285761	0.1631195504632446	0.5407923886860998	Not Sig
A_24_P88266	-0.08064285714285635	0.7038186149119827	0.8965127621722171	Not Sig
A_24_P882732	-0.2207857142857126	0.013316655510889544	0.16680258964602282	Not Sig
A_24_P882914	0.05978571428571389	0.25535659925849363	0.6363573171268625	Not Sig
A_24_P883629	0.0386428571428592	0.6156914785526495	0.8542053480481165	Not Sig
A_24_P884376	0.202928571428572	0.08049465603850416	0.4058550756654297	Not Sig
A_24_P88554	-0.00314285714285667	0.9444903577309622	0.985338683926447	Not Sig
A_24_P88565	0.20392857142857146	0.07948442236861523	0.4038026774692674	Not Sig
A_24_P886040	-0.03407142857142986	0.4518767264454954	0.7651512627421434	Not Sig
A_24_P88696	0.03778571428571431	0.8232289720443157	0.9431645641783546	Not Sig
A_24_P88763	0.06285714285714228	0.5319067496847417	0.809348915109634	Not Sig
A_24_P88775	0.016285714285713127	0.8802295913568082	0.9636330411633344	Not Sig
A_24_P887857	-0.19121428571428467	0.028053962180631803	0.24380297757218133	Not Sig
A_24_P88800	-0.03635714285714364	0.6856124812776825	0.8876289309440274	Not Sig
A_24_P88801	-0.013000000000002565	0.8225809373264396	0.9428270572947361	Not Sig
A_24_P88850	0.07542857142857251	0.4340744453590979	0.7548531519689539	Not Sig
A_24_P88921	0.138857142857141	0.056905084101141666	0.3461498292724631	Not Sig
A_24_P889720	0.05907142857142844	0.11381462020457954	0.4701468277646246	Not Sig
A_24_P89080	0.058714285714285275	0.6374324605237819	0.8653735139615578	Not Sig
A_24_P892472	0.30271428571428594	0.014820029069658557	0.1755311197069336	Up
A_24_P892494	0.6481428571428565	0.024628907729801454	0.22704018378856441	Up
A_24_P89413	-0.029857142857143693	0.4372906053141182	0.7566039582540351	Not Sig
A_24_P89426	0.001999999999997115	0.9759053166907433	0.9939000646554439	Not Sig
A_24_P89457	-0.19607142857142712	0.14953580373137695	0.523776940102267	Not Sig
A_24_P89509	0.0702857142857134	0.23036557059958154	0.6151537520916013	Not Sig
A_24_P89512	-0.033928571428573306	0.3603139271786633	0.7139089433618527	Not Sig
A_24_P896205	0.1752857142857147	0.16021639867431167	0.5378342451146305	Not Sig
A_24_P89701	0.09692857142857036	0.026763677072533916	0.2378547120542645	Not Sig
A_24_P897062	-0.10192857142857292	0.31513700291834906	0.6843123709102938	Not Sig
A_24_P89835	-0.25442857142857145	0.41620414217674584	0.7438236519546084	Not Sig
A_24_P89843	0.05328571428571394	0.26540561954114633	0.6453757054168388	Not Sig
A_24_P89872	0.11428571428571566	0.10960916253361512	0.4626150128579095	Not Sig
A_24_P89891	0.017714285714288458	0.8821371658858043	0.9641039802171523	Not Sig
A_24_P898945	-0.040285714285714924	0.5699219997163397	0.8307312620178668	Not Sig
A_24_P89911	-0.014714285714283903	0.6088585757393586	0.8507368895376151	Not Sig
A_24_P89971	-0.0132142857142874	0.7855112169066021	0.9299711517513972	Not Sig
A_24_P90097	0.11628571428571632	0.06020774752518226	0.35565376081804345	Not Sig
A_24_P901986	0.4880000000000013	0.025172117560530147	0.2296924445727183	Up
A_24_P902052	0.061642857142855334	0.14856748316278862	0.52262632835874	Not Sig
A_24_P90216	-0.16571428571428726	0.040228990687122095	0.29144079649662735	Not Sig
A_24_P902728	-0.06485714285714295	0.37995297451816995	0.7230835260242344	Not Sig
A_24_P904903	-0.05028571428571382	0.2650572766917822	0.6452530650112897	Not Sig
A_24_P90878	0.03307142857142864	0.4979123543677606	0.7904927908915302	Not Sig
A_24_P90881	0.4547142857142852	0.05560533147739655	0.34303776262844593	Not Sig
A_24_P9090	-0.03885714285714137	0.5571197288950192	0.8236114660465812	Not Sig
A_24_P90900	0.48664285714285604	0.0008984392231813161	0.04571846902459703	Up
A_24_P910060	0.33099999999999996	0.2967633803992391	0.6711672650055617	Not Sig
A_24_P910297	0.005142857142857338	0.9106901328375077	0.9747119145711746	Not Sig
A_24_P910667	-0.2755000000000001	0.15712892314430196	0.5346244100243459	Not Sig
A_24_P910688	0.05871428571428483	0.8047651533235646	0.9367487419668247	Not Sig
A_24_P910733	0.020857142857146016	0.5939976093788283	0.84374263154472	Not Sig
A_24_P91094	-0.5125000000000011	0.00035181781643920984	0.029041013665453537	Down
A_24_P911094	0.07157142857142773	0.7883214446485858	0.9312532658132281	Not Sig
A_24_P911288	0.22300000000000075	0.35687508409559565	0.7114796199153259	Not Sig
A_24_P911362	0.5596428571428573	0.011680098342459809	0.15575154515426776	Up
A_24_P91140	-0.18049999999999677	0.00023491128314676195	0.024954288786432303	Not Sig
A_24_P911464	0.06492857142857189	0.42474839639032635	0.7488526396441464	Not Sig
A_24_P911607	0.1797142857142866	0.4532673838060184	0.7659161117370619	Not Sig
A_24_P91165	0.29357142857142815	0.010286796634248987	0.1473617054306505	Not Sig
