ID_REF	GSM1627296	GSM1627297	GSM1627298	GSM1627299	GSM1627300	GSM1627301
ILMN_1651652	5.738802965	5.61201269	5.531525764	5.444026666	5.426405468	5.683139103
ILMN_1651656	9.665934197	9.473855573	9.510302992	11.85375478	11.89061095	11.98303132
ILMN_1651657	5.992691638	5.866273772	5.99843121	6.288644153	5.972875526	6.142045842
ILMN_1651660	5.263171661	5.735268474	5.429346971	5.592154865	5.433064171	5.891173993
ILMN_1651662	5.553297339	5.647843607	5.560107174	5.546165993	5.387297324	5.280780132
ILMN_1651664	5.87398487	6.092686585	5.86861452	5.606377989	5.881330549	5.898875717
ILMN_1651672	5.934373289	5.723622305	5.567041473	5.836244108	5.563588166	5.673171746
ILMN_1651680	13.85423696	13.96706706	13.93651443	14.14208829	13.99016375	14.23196095
ILMN_1651681	5.976310534	5.997928586	6.106460908	5.98397183	6.005583235	5.881330549
ILMN_1651684	6.938871685	7.087428168	6.962091976	7.577257102	7.644215579	7.575087261
ILMN_1651685	6.102940333	6.12763242	5.918024545	6.174291011	6.043255573	6.22128932
ILMN_1651690	5.968501056	6.324870695	6.278630882	5.964416592	6.128191509	6.255396934
ILMN_1651692	7.413982227	7.42486213	7.405532966	7.97304847	7.678409659	7.927311858
ILMN_1651693	5.988338361	6.102087911	6.040193356	5.999057385	6.152186017	5.832707635
ILMN_1651699	8.89200975	9.078422874	9.099965957	8.495718267	8.46865986	8.690979797
ILMN_1651705	10.06599017	9.957583316	10.01379366	10.26850104	10.3247438	10.1423193
ILMN_1651708	5.724193864	5.758768868	6.029502743	5.783075599	5.789600154	5.716860935
ILMN_1651710	7.133804781	6.811247915	7.320907669	6.396517948	6.281989298	6.167020116
ILMN_1651711	5.916080781	5.71274815	5.569946219	5.722080152	5.824059775	5.726160341
ILMN_1651712	5.669099778	5.763832845	5.893486637	6.187687554	6.16315335	6.165476997
ILMN_1651715	6.078876993	5.846516537	5.948945777	5.914678465	5.876324135	5.96209898
ILMN_1651717	5.565790881	5.766491362	5.714885388	5.833729685	5.620670751	5.830738899
ILMN_1651719	11.20166906	11.24305638	11.15953381	11.24483726	11.25233691	11.19491215
ILMN_1651727	5.611881141	5.454193896	5.647843607	5.663534879	5.554685252	5.491115383
ILMN_1651735	11.0181592	11.03293843	10.99228989	11.25707898	11.29689404	11.25490325
ILMN_1651737	5.626788859	5.748364999	5.858741257	5.505384978	5.782021324	5.702366415
ILMN_1651741	6.335048688	5.927940597	5.934599652	6.236255271	6.082262024	6.202672968
ILMN_1651745	6.096930163	5.844696905	6.116471322	6.238288966	6.165194283	6.293744141
ILMN_1651752	6.232582102	6.06226804	5.994149896	6.009873994	6.218443223	6.247421201
ILMN_1651758	5.733057605	5.673171746	5.575974793	5.898644308	5.569946219	5.534073979
ILMN_1651760	5.645335799	5.554267739	5.454193896	5.63602523	5.639969976	5.698218453
ILMN_1651763	5.602764768	5.368405089	5.556911448	5.676776767	5.620670751	5.26376431
ILMN_1651767	6.923522206	6.732107386	6.714076575	6.778699118	6.853003175	6.776428491
ILMN_1651769	6.778992743	7.004089815	6.950656126	7.131812673	7.351397837	7.158540379
ILMN_1651771	5.701611636	5.59802814	5.796206628	5.828777797	5.845384581	5.830738899
ILMN_1651776	8.974127776	9.05612153	9.039527314	9.595831398	9.617716649	9.321370839
ILMN_1651787	5.994758046	6.000092075	5.647843607	5.833729685	5.953909799	5.78832495
ILMN_1651788	7.754175023	7.801142128	7.659572526	7.823541234	7.726575227	7.705675896
ILMN_1651789	5.611881141	5.128430585	5.725294737	5.62718357	5.81399349	5.370185028
ILMN_1651792	5.68404517	5.52530625	5.597632198	5.663534879	5.684921505	5.675876457
ILMN_1651799	12.19229905	12.2149747	12.19496345	12.42537565	12.25719762	12.37908193
ILMN_1651800	7.550582608	7.728634068	7.637563398	7.344829837	7.239392617	7.178418547
ILMN_1651806	5.760597502	5.766491362	5.744439345	5.778222917	5.700992324	5.790438289
ILMN_1651811	5.786520782	5.732128369	5.669852866	5.862451897	5.741262893	5.737600962
ILMN_1651817	5.707019082	5.647843607	5.667010075	5.537190903	5.620670751	5.712018212
ILMN_1651819	10.25109604	10.22855264	10.3763138	10.63338625	10.61573389	10.45769166
ILMN_1651826	13.62204004	13.70011847	13.71672114	13.37254977	13.36821576	13.19072254
ILMN_1651828	9.172213665	9.146208579	9.06999207	9.725587823	9.826933108	9.601386592
ILMN_1651832	10.47630821	10.62046301	10.46831952	10.01665683	10.09563082	9.934459852
ILMN_1651838	5.529557232	5.328898003	5.612438323	5.253377772	5.455082088	5.543493372
ILMN_1651846	5.651085454	5.629709451	5.784752592	5.702739137	5.690029309	5.503454075
ILMN_1651848	5.53321976	5.595472358	5.432396911	5.616809639	5.714885388	5.700232806
ILMN_1651850	14.38603716	14.19159862	14.38603716	14.16860744	14.23196095	14.0635855
ILMN_1651865	5.801964474	5.71274815	5.866149455	5.440565006	5.829136359	6.006260871
ILMN_1651872	8.825070862	8.788347048	8.818920009	8.157086429	7.988898738	7.944786912
ILMN_1651878	6.196980695	6.115175915	6.26808292	6.27697175	6.51743722	6.243191693
ILMN_1651886	10.17703421	10.38649847	10.06655437	10.43297633	10.17163194	10.23973149
ILMN_1651899	13.22135464	13.26052076	13.46325267	13.49730754	13.26052076	13.31771081
ILMN_1651900	6.158973002	5.789600154	5.792927864	6.06320155	5.862846668	5.886526186
ILMN_1651902	5.9419403	5.903963967	6.26808292	6.299420792	6.333655179	6.297673838
ILMN_1651903	5.730486465	5.629709451	5.755871679	5.747008534	5.848383011	5.615102595
ILMN_1651905	5.289805138	5.394484805	5.209477638	5.220467353	5.461041138	5.47569598
ILMN_1651913	5.944393969	6.004787432	5.6276937	5.760479664	5.764064284	5.886526186
ILMN_1651916	5.913793222	5.715371849	5.738939442	5.948945777	5.881330549	5.78832495
ILMN_1651936	8.601487412	8.504584382	8.634786143	8.260254605	8.416835081	8.433435617
ILMN_1651938	6.149298155	5.858915843	6.066962839	5.872425528	5.774036639	6.014481852
ILMN_1651940	5.474222965	5.676381376	5.389635248	5.318654335	5.360796385	5.326536931
ILMN_1651943	5.808505195	5.876655105	5.804553731	6.422611419	5.684921505	6.183188429
ILMN_1651944	5.536889548	5.467285737	6.05342898	5.616809639	5.808854362	5.875470404
ILMN_1651949	6.485023518	6.167921315	6.671096848	6.368731739	6.687619909	6.517541193
ILMN_1651950	10.48118398	10.44476203	10.53018087	10.50873071	10.66312085	10.38973518
ILMN_1651958	6.141296893	6.115175915	6.080041456	5.912506917	6.051121367	6.240359812
ILMN_1651964	7.41872107	7.485759623	7.291817655	7.92339975	7.97004897	8.052341582
